post_num,post_idx,text,topic_tag,sentiment_tag
194,6,הפלת שלטון נתניהו ו שלטון ה ימין,2,0
59,3,אלא רווח פוליטי של נתניהו,2,-1
195,30,הגיע ה זמן ל מנהיגות אחרת,2,-1
80,0,זו לא בדיחת טוויטר,2,-1
91,4,ראוי ש ראש ה ממשלה ימנע מ שימוש ב מוסר כפול,2,-1
195,2,אני מכיר את נתניהו שנים רבות,2,0
189,17,מצביע אך ו רק מחל,2,1
66,11,הוא נכשל ב ה מוסקבה,2,-1
103,4,מפלגת ה ליכוד ב ה נימין נתני,2,0
120,22,עצתי ל ראש ה ממשלה ב ה נימין נתניהו,2,0
191,1,נתניהו ו שריו ה גזענים היו מפסידים,2,-1
127,15,13 שנה זה מספיק,2,-1
115,3,אפילו עזבת את מפלגת ה עבודה כדי להישאר ב ממשלת נתניהו,2,0
186,7,תוציא כבר היום את צו ה הריסה,2,-1
271,5,אין ספק ש אנחנו מתמודדים מול ה ממשלה ה ימנית ו ה גזענית ביותר,2,-1
165,0,נתניהו ש נכשל ב ה דרום,2,-1
198,2,נתניהו יעמוד ל משפט פלילי,2,-1
130,0,גם תושבי ה דרום משעממים את בנימין נתניהו,2,-1
59,10,שופטים ו משרתי ציבור,2,0
202,2,נתניהו שקוע ב ה פלילים עד צוואר ו איבד את ה תוקף ה מוסרי להמשיך ו להנהיג את מדינתו,2,-1
187,1,ה פרסום מסיט את ה שיח מ מה ש חשוב ב אמת ה אם תהיה כאן ממשלת ימין חזקה ב ראשות נתניהו או ממשלת שמאל ב ראשות לפיד ו גנץ ש נשענת על אחמד טיבי,2,1
195,7,בנימין נתניהו ש אני הכרתי הוא אדם מוכשר עם חזון ו תפיסת עולם,2,1
116,0,ב ה יממה ה אחרונה נתניהו הפריח ל ה אוויר עוד אחד מ שקריו מ שוללי ה יסוד,2,-1
59,8,ש לא מרמה את הם,2,-1
169,5,מערכת ה בריאות קורסת ו שיעורי ה עוני הם ה גבוהים ב ה מערב,2,-1
167,23,אתם מדמיינים כמה הוא יהיה מוכן לשלם ב ה שביל להינצל מ ה כלא,2,-1
124,0,זהו ניצחון גדול ל ה ליכוד ו הבעת אמון אדירה ב ראש ה ממשלה ב ה נימין נתניהו,2,1
92,21,הוגה תזת ה אין פרטנר ו זה ש דחף להפציץ את איראן מתוך ממשלת ביבי,2,0
198,3,אבל הם יעמדו ל משפט ה ציבור,2,0
123,3,פנינו ל הקמת ממשלה ש תמשיך לקדם את מדינת ישראל ב כל ה תחומים ו תפעל למען כל אחת ו אחד מ אזרחי ישראל,2,1
200,10,ב כל ה עולם,2,0
200,11,כל נסיון לפגוע ב ה רצונכם לראות את הוא ראש ממשלה גם ב ה עתיד ייכשל,2,1
196,0,זה ה שלב ש ב הוא נתניהו צריך להתחיל להוכיח את חפותו כ אזרח מן ה שורה,2,-1
164,6,חדה ו עוצמתית,2,1
260,4,כי הוא נגד ערבים ו ה שמאל,2,-1
91,6,כך על הוא להימנע מ להתבטא ב נושאים רגישים ה קשורים ל ה אינטרסים ו ל מדיניות של מדינות זרות,2,-1
241,3,ו התנהל משא ו מתן ב משרד ראש ה ממשלה יותר מ שבוע אחד,2,0
271,6,אך אנחנו עושים כל מאמץ כן בשביל להדוף את היא,2,-1
194,1,אני מאמינה ב אמונה שלמה ש לאחר ה שימוע כולם יבינו ש מדובר ב פייק תיקים,2,1
167,3,מפני ש אם חס ו חלילה נתניהו יקים את ה ממשלה ה באה,2,-1
5,26,שניהם דיברו לא פעם על ביטול מתווה ה כותל ו על חוק ה גיור,2,0
195,6,ו מ ערכות דיפלומטיות כ ה נגד איראן,2,0
143,3,נתניהו סירב להחזיר את ה מנדט ל ה נשיא ו כפה על ה מדינה ב חירות מיותרות ו יקרות ש את ה השלכות ה הרסניות של הן כולנו מתחילים לראות,2,-1
5,16,אמרה ל אני סנטורית חשובה ו הדגישה ש זה נכון לגבי נתניהו ודרמר,2,0
59,6,אזרחי ישראל צמאים ל ה שינוי,2,-1
115,4,אתה גם תהיה ה ראשון ש ינסה להיכנס ל ממשלת נתניהו ה באה,2,0
188,5,אנחנו נזכיר ל הוא פעם אחר פעם ש את זכותו להנהיג הוא איבד,2,-1
108,4,ה ליכוד לא מזגזג,2,1
119,2,דברי שר ה משפטים ש מינה נתניהו כדי להרוס את שלטון ה חוק מ בפנים,2,-1
172,2,נתניהו מסית נגד ערבים ו שמאלנים מ יום ש הגיע ל ה פוליטיקה,2,-1
159,1,נתניהו פגע ב ביטחון ה מדינה,2,-1
150,1,אין צעד פסול ב עיניו ב ניסיון של הוא לחמוק מ העמדה ודאית ל ה דין,2,-1
195,17,אם טובת ה מדינה עדיין לנגד עיניו על הוא לעשות את ש המליץ ל אולמרט להתפטר ו להילחם על חפותו,2,-1
66,12,ביבי מספר כמה טראמפ ו פוטין חברים של הוא,2,0
105,6,מגיע ל אזרחי ישראל מערכת פוליטית נקייה מ שחיתות פוליטית ש פוגעת ב ה הם ו משרתת אינטרסים זר,2,-1
177,23,רק מחל,2,1
148,8,ב ה זמן ש עורכי דינו של נתניהו מבזים את ה מוסד ה חשוב ה זה ו ה עומד ב ראשו,2,-1
