post_num,post_idx,text,topic_tag,sentiment_tag
95,9,עידן טראמפ הוא עידן פוסט ה אמת ו אובדן ה בושה,1,-1
67,4,בלי קשר ל ה ממשל טראמפ,1,0
10,0,ארהב ב הנהגת ה נשיא טראמפ מתייצבת מחדש ב הנהגת ה עולם ה חופשי ו חוזרת ל תפקיד ה שוטר ה עולמי,1,1
94,8,אני מקווה ש ה נשיא הנכנס ראה את ה הפגנה ה גדולה ה זו ו את ה הפגנות אחיות של היא ב כל ה עולם ו ה קולות ה ברורים ש עולים מ הם,1,-1
56,5,טוב ש יש ל אנחנו כ ה זה ידיד ,1,1
89,8,זו עצה ידידותית מ חבר ש מחזיק מקל גדול ב ידו,1,1
55,2,כל ה עולם מבין ש גם ב ה תוך ה כנסת ישנו כוח משמעותי ה מתנגד נחרצות ל הצהרת טראמפ ו ל מדיניותה של א,1,-1
73,1,מסר של העברת ה שגרירות ל ירושלים יבהיר את ה מציאות ש ירושלים לא תהיה חלק מ משא ו מתן,1,-1
45,4,חתם ה יום על ה חוק ה מחייב את מחלקת ה מדינה ה אמריקאית לדווח מידי שנה ל ה קונגרס על ה פעולות ש נקטו מדינות אירופה ל השבת ה רכוש ה יהודי ה גזול מ תקופת ה שואה,1,1
61,7,ביבי וטראמפ הם שני מנהיגים כושלים תחת חקירה ש מסכנים את מדינותיהם כדי לשמר את ש ל טונם,1,-1
46,2,תודה ל אתה,1,1
16,19,אבל כל כך מובהק,1,0
2,2,שוב תודתנו נתונה ל נשיא טראמפ ש מוכיח פעם אחר פעם את ידידותו ה עמוקה ל ישראל,1,1
16,16,ארהב תתמוך ב ה פתרון שתי ה מדינות דממת מוות השתררה מסביב ל שולחן ה ממשלה ו ב ספסלי ה קואליציה,1,1
95,11,ממלכתיות ו ערכים,1,0
79,3,שגרירות ארהב לא הועברה ל ה ירושלים,1,-1
87,6,ידידו ה אישי של ראש ה ממשלה נתניהו ו ב כל נאום הוא חוזר ו מדגיש את חשיבות ה שלום את ה תקווה ו את ה היתכנות ל הסדר שלום עם ה פלסטינים ו כל זאת בלי אבל או תנאים מקדימים,1,1
70,6,אפשר היה להגיע ל הסכם הרבה יותר טוב,1,0
50,1,הוא מפחד לא ליישם את ה הוראות ה הזויות של טראמפ ש לא להכניס את ראשידה ועומאר ל ישראל,1,-1
16,11,קרא טראמפ ב מילותיו ל כל ה צדדים לשמור על ה סטטוס קוו ב ה ירושלים,1,1
92,18,הוא לא אמר ש זה מה ש דרוש ל ה אמריקה ו לא הסביר שטראמפ ב ה עצם צודק,1,0
80,6,זו תפיסה מיושת ו שגויה,1,-1
