post_num,post_idx,text,topic_tag,sentiment_tag
258,1,נגד שני חוקים פסולים ש מטרתם אחת,3,-1
255,0,עשינו היסטוריה,3,1
231,1,אלא ירייה ב גב ה חברה ה ישראלית כולה,3,-1
208,5,חוק ש נפל לאחר ש כל מפלגות ה קואלציה הצביעו נגד הוא,3,0
255,6,הוא אומר את ה מובן מ אל הוא,3,0
270,13,ה חוק לא מושלם יש ב הוא סעיפים בעייתיים ש ודרשים שיפור,3,-1
231,13,זה הרבה יותר,3,-1
299,3,ה הכרזה על מדינת ישראל כ מדינה יהודית מתנגשת עם ערכי ה שוויון ה דמוקרטי נקודה,3,-1
226,5,שתלחם נגד חוק ה לאום ו נגד ה כיבוש ו תוביל את ממשלת גנץ ל שלום ש תילחם על שוויון ל נשים ו ל ה הטב ו למען הפרדת דת מ מדינה,3,-1
284,1,אני מצר על כך ש מפלגות ה שמאל ב הובלת יש עתיד ו ה מחנה ה ציוני הצביעו נגד ה חוק,3,1
219,5,גרסה ל תיקון ל חוק ה לאום,3,-1
219,12,הוא התנגד ל חוק ה לאום ו חלק מ מפלגתו נמנעו מ הצבעה,3,-1
232,27,אין שום צורך לתקן את אחד ה חוקים הכי לא ציוניים ש אי פעם חוקקו פה,3,-1
291,11,חוק ה לאום חשוב כדי לעצור את ה כרסום ה מתמשך ש יש ב ה מעמדנו כ מדינה יהודית,3,1
231,0,חוק ה לאום הוא לא רק ירייה ב גב אחינו ה דרוזים,3,-1
279,13,ש תדון ב ה חוק יסוד,3,0
231,2,כש חוקקו את חוק ה לאום כ רשימת מכולת של ה מובן מאל הוא,3,-1
294,4,ה שרים ה מתנגדים טוענים ש צריך לערוך דיון ציבורי מקיף,3,0
255,5,ה חוק מבטא את ה יסודות ה עמוקים ביותר של ה ציונות ו את ה בסיס על הוא נבנתה מדינת ישראל,3,1
293,5,עד ה יום ה היבטים ה דמוקרטים גברו על ערך ה מדינה ה יהודית,3,1
296,0,חוק ה לאום עבר,3,0
242,4,ש אינם יהודים,3,0
279,16,מילה אחת ש אומרת ה כל שוויון,3,0
299,8,ל ה מהלך ה זה ה שלכות מרחיקות ל כת כמו ערעור על זכותנו ל בית לאומי יהיה מי ש יאמר ש אם כך מתנהלת מדינתו של ה עם ה יהודי,3,-1
219,6,אומנם ה הצעה לא עברה ב ה הצבעה,3,0
280,2,היא מבטאת את ה יסודות ה עמוקים ביותר של ה ציונות ו את ה יסודות ש על בסיסם נבנתה מדינת ישראל,3,1
291,4,הוא מתרחש כל יום,3,0
289,2,זמן רב מדי ש אנו מנסים ל דון ו לקבל החלטה לגבי חוק כל כך בסיסי,3,1
243,0,חוק ה לאום עבר כי נזכרנו מאוחר מדי,3,-1
292,4,אני נחוש לקדם את חוק ה לאום ב ה נוסח ש אני אביא,3,1
231,9,ב מקרה זה נשמע בעיקר קולם של ה דרוזים ה מוחאים על ה אפליה,3,-1
271,3,ה מושב ה זה מסתיים ו ה רשימה ה משותפת הצליחה למנוע את העברת חוק ה לאום ו חוק ה מואזין,3,-1
243,1,עכשיו כל ה תרבות ה ישראלית ב ה סכנה,3,-1
212,1,חוק ה לאום הוא חוק מצויין,3,1
298,0,היום ועדת ה שרים ל ה חקיקה תדון ב חוק ה לאום של חבר הכנסת זאב אלקין ו ש ל אני,3,1
212,10,ה מחוייבות רק גדלה ו ברית ה חיים בין אנחנו לבין הם רק התחזקה,3,0
270,9,התחלנו עם נוסח בעייתי ש ה באג ה גדול ביותר של הוא היה ב ה יוזמה לבטל את חוק כבוד ה אדם ו חירותו ב ה דלת ה אחורית,3,-1
262,0,אין ל אני ספק ש זבוטינסקי היה חותם ב שמחה על חוק ה לאום ש אנחנו שמנו לא מזמן בפני הכנסת,3,1
236,0,אמרתי הערב ב ה ערוץ 20 כי דינן ה טבעי של ה עתירות נגד חוק ה לאום להדחות על ה סף,3,1
